date,status,return,trades,gross_exposure
2026-06-02,traded,-0.0001802440061492259,1,0.04
2026-06-03,flat,0,0,0.0
2026-06-04,flat,0,0,0.0
2026-06-05,flat,0,0,0.0
2026-06-06,flat,0,0,0.0
2026-06-07,flat,0,0,0.0
2026-06-08,flat,0,0,0.0
2026-06-09,flat,0,0,0.0
2026-06-10,flat,0,0,0.0
2026-06-11,flat,0,0,0.0
2026-06-12,flat,0,0,0.0
2026-06-13,flat,0,0,0.0
2026-06-14,flat,0,0,0.0
2026-06-15,flat,0,0,0.0
2026-06-16,flat,0,0,0.0
2026-06-17,flat,0,0,0.0
2026-06-18,traded,-0.0003108944154941892,2,0.08
2026-06-19,flat,0,0,0.0
2026-06-20,flat,0,0,0.0
2026-06-21,flat,0,0,0.0
2026-06-22,flat,0,0,0.0
2026-06-23,flat,0,0,0.0
2026-06-24,flat,0,0,0.0
2026-06-25,traded,-0.0003871804350632852,3,0.12
2026-06-26,traded,4.8748592393412295e-06,1,0.04
2026-06-27,flat,0,0,0.0
2026-06-28,flat,0,0,0.0
2026-06-29,flat,0,0,0.0
2026-06-30,flat,0,0,0.0
2026-07-01,flat,0,0,0.0
2026-07-02,traded,0.0005097795524891915,1,0.04
2026-07-03,flat,0,0,0.0
2026-07-04,flat,0,0,0.0
2026-07-05,flat,0,0,0.0
2026-07-06,flat,0,0,0.0
2026-07-07,flat,0,0,0.0
2026-07-08,flat,0,0,0.0
2026-07-09,flat,0,0,0.0
2026-07-10,flat,0,0,0.0
2026-07-11,flat,0,0,0.0
2026-07-12,flat,0,0,0.0
2026-07-13,flat,0,0,0.0
2026-07-14,traded,-0.00047714502657555155,1,0.04
2026-07-15,flat,0,0,0.0
2026-07-16,traded,-0.0006613348459065981,1,0.04
2026-07-17,flat,0,0,0.0
2026-07-18,flat,0,0,0.0
2026-07-19,flat,0,0,0.0
2026-07-20,flat,0,0,0.0
2026-07-21,flat,0,0,0.0
2026-07-22,flat,0,0,0.0
2026-07-23,flat,0,0,0.0
2026-07-24,flat,0,0,0.0
2026-07-25,flat,0,0,0.0
2026-07-26,flat,0,0,0.0
2026-07-27,flat,0,0,0.0
2026-07-28,flat,0,0,0.0
2026-07-29,flat,0,0,0.0
2026-07-30,flat,0,0,0.0
2026-07-31,flat,0,0,0.0
2026-08-01,flat,0,0,0.0
2026-08-02,flat,0,0,0.0
2026-08-03,flat,0,0,0.0
2026-08-04,flat,0,0,0.0
2026-08-05,flat,0,0,0.0
2026-08-06,flat,0,0,0.0
2026-08-07,flat,0,0,0.0
2026-08-08,flat,0,0,0.0
2026-08-09,flat,0,0,0.0
2026-08-10,flat,0,0,0.0
2026-08-11,flat,0,0,0.0
2026-08-12,flat,0,0,0.0
2026-08-13,flat,0,0,0.0
2026-08-14,flat,0,0,0.0
2026-08-15,flat,0,0,0.0
2026-08-16,flat,0,0,0.0
2026-08-17,flat,0,0,0.0
2026-08-18,flat,0,0,0.0
2026-08-19,flat,0,0,0.0
