date,status,return,trades,gross_exposure
2026-08-20,traded,-0.0012222855208679246,3,0.12
2026-08-21,flat,0,0,0.0
2026-08-22,flat,0,0,0.0
2026-08-23,flat,0,0,0.0
2026-08-24,flat,0,0,0.0
2026-08-25,traded,-6.683043506367597e-05,1,0.04
2026-08-26,flat,0,0,0.0
2026-08-27,flat,0,0,0.0
2026-08-28,flat,0,0,0.0
2026-08-29,flat,0,0,0.0
2026-08-30,flat,0,0,0.0
2026-08-31,flat,0,0,0.0
2026-09-01,flat,0,0,0.0
2026-09-02,flat,0,0,0.0
2026-09-03,flat,0,0,0.0
2026-09-04,traded,-0.0007065431195643334,1,0.04
2026-09-05,flat,0,0,0.0
2026-09-06,flat,0,0,0.0
2026-09-07,flat,0,0,0.0
2026-09-08,flat,0,0,0.0
2026-09-09,flat,0,0,0.0
2026-09-10,flat,0,0,0.0
2026-09-11,flat,0,0,0.0
2026-09-12,pending,,,
2026-09-13,pending,,,
2026-09-14,pending,,,
2026-09-15,pending,,,
2026-09-16,pending,,,
2026-09-17,pending,,,
2026-09-18,pending,,,
